"geo_id","Y","N","U"
"06075012501",32,113,1
"06075012502",2,23,0
"06075012601",198,280,1
"06075012602",290,305,3
"06075012700",410,478,4
"06075012800",533,539,3
"06075012901",160,295,1
"06075012902",231,440,6
"06075013000",440,545,1
"06075013101",366,304,2
"06075013102",440,346,0
"06075013200",751,468,3
"06075013300",737,410,6
"06075013400",505,441,1
"06075013500",265,236,1
"06075015100",397,274,0
"06075015200",429,365,1
"06075015300",274,212,8
"06075015400",681,583,2
"06075015500",270,435,0
"06075015600",297,372,0
"06075015700",606,881,6
"06075015801",340,225,3
"06075015802",179,256,1
"06075015900",337,434,1
"06075016000",443,316,2
"06075016100",140,101,3
"06075016200",159,1469,3
"06075016300",210,331,0
"06075016400",199,336,0
"06075016500",386,514,0
"06075016600",329,441,5
"06075016700",488,468,3
"06075016801",209,300,8
"06075016802",251,256,22
"06075016900",292,325,7
"06075017000",864,538,5
"06075017101",555,387,5
"06075017102",415,385,2
"06075017601",310,414,2
"06075017700",148,181,3
"06075017801",444,370,0
"06075017802",525,471,6
"06075017902",0,2,0
"06075018000",553,525,42
"06075020100",409,414,22
"06075020200",370,463,3
"06075020300",297,310,2
"06075020401",589,395,1
"06075020402",631,411,1
"06075020500",430,308,1
"06075020600",764,597,1
"06075020700",408,558,9
"06075020800",258,420,2
"06075020900",194,327,1
"06075021000",310,438,2
"06075021100",633,491,3
"06075021200",638,294,5
"06075021300",562,269,1
"06075021400",526,426,0
"06075021500",775,610,1
"06075021600",1205,387,1
"06075021700",1197,300,1
"06075021800",952,379,1
"06075022600",455,298,1
"06075022702",308,334,0
"06075022704",777,459,1
"06075022801",600,426,1
"06075022802",164,149,0
"06075022803",328,329,0
"06075022901",189,229,1
"06075022902",194,207,1
"06075022903",272,269,2
"06075023001",956,238,1
"06075023003",801,233,0
"06075023102",406,172,0
"06075023103",95,45,0
"06075023200",703,382,2
"06075023300",649,157,0
"06075023400",419,253,0
"06075025100",828,252,0
"06075025200",1156,426,1
"06075025300",621,390,2
"06075025401",543,282,0
"06075025402",805,184,0
"06075025403",800,300,1
"06075025500",1521,452,1
"06075025600",1128,289,0
"06075025701",867,264,2
"06075025702",620,232,1
"06075025800",312,107,0
"06075025900",1012,245,0
"06075026001",765,290,0
"06075026002",699,185,1
"06075026003",870,257,0
"06075026004",687,190,0
