geo_id,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
06001425103,0,0,2,1,4,2,5,3,0,0,1,1,1,2,2,2,4,9,4,3,2,0,2,1,2,1,1
06001425104,3,2,0,3,2,13,1,1,1,1,0,2,1,2,3,4,6,7,13,3,0,3,10,5,3,2,0
06001426100,1,10,5,9,5,4,5,2,5,4,4,12,6,5,6,4,2,1,0,1,1,1,0,0,2,1,1
06001426200,1,18,4,6,4,10,2,3,1,5,1,3,5,1,0,2,4,4,2,0,0,0,0,2,1,1,1
06001427100,1,4,6,1,1,0,2,0,1,0,2,1,2,3,5,3,1,4,0,1,2,0,2,0,2,0,2
06001427200,2,3,5,0,1,3,4,0,1,1,6,4,3,5,4,2,2,7,0,6,4,3,3,2,4,1,2
06001427300,1,4,5,0,3,1,4,1,2,0,6,7,5,5,3,8,4,4,1,0,1,0,0,7,3,1,1
06001427600,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,1,0,2,4,2,0,0,1,1,1,2,1
06001427700,0,4,0,1,2,2,1,1,1,1,4,3,2,2,1,4,4,4,2,1,1,1,2,2,3,1,0
06001427800,3,5,1,0,1,1,0,4,0,1,0,2,4,5,3,1,5,4,6,2,1,2,1,1,1,1,1
06001427900,1,8,0,1,0,2,0,0,1,2,1,2,1,1,2,3,3,2,1,0,4,0,4,0,1,1,1
06001428000,2,0,0,1,2,0,1,2,0,0,1,0,0,1,1,0,1,2,1,0,0,2,2,1,1,0,0
06001428100,0,3,6,1,3,3,0,1,1,5,3,4,3,1,1,0,9,4,3,6,3,2,0,1,1,3,1
06001428200,1,3,9,3,4,4,2,2,3,2,4,4,9,2,4,3,8,9,6,3,4,2,4,1,3,6,1
06001428301,5,22,12,7,7,7,6,3,2,4,8,7,10,4,2,7,10,14,6,4,2,3,9,6,7,6,1
06001428302,12,31,33,4,10,9,12,5,5,4,21,17,5,6,3,8,5,4,3,8,2,4,3,0,3,0,1
06001428400,2,4,0,4,1,0,2,0,0,2,1,2,3,3,2,1,3,4,3,0,2,1,0,0,0,0,0
06001428500,1,6,4,1,1,0,0,0,3,1,1,2,0,0,3,7,2,2,2,1,0,0,3,2,1,6,1
06001428600,2,6,5,8,3,0,1,2,2,3,5,5,5,3,4,6,5,4,1,1,1,0,1,2,6,5,1
06001428700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,5,2,0,0,1,2,0
06001430101,5,12,9,10,6,5,2,4,3,7,9,12,6,13,18,16,8,13,7,2,3,4,7,7,4,2,0
06001430102,1,4,0,2,3,2,1,1,0,2,0,2,1,1,2,1,2,0,0,0,2,1,0,0,4,1,0
06001430200,3,5,5,3,6,10,6,3,2,3,5,8,3,9,3,6,4,8,2,1,5,4,6,0,3,6,0
06001430300,0,2,6,3,3,0,0,1,3,4,5,3,1,3,3,3,3,5,2,4,1,5,1,5,2,5,1
06001430400,1,1,1,1,0,2,1,1,1,3,2,3,2,1,1,1,3,2,1,1,1,3,0,0,1,0,1
06001430500,2,8,12,6,1,0,9,2,2,3,2,2,11,7,9,7,20,15,9,3,3,4,13,9,9,6,3
06001430600,0,2,11,4,12,3,6,8,5,9,6,10,6,7,8,10,12,13,6,5,6,6,12,10,5,7,2
06001430700,1,6,2,1,0,1,5,0,3,3,3,2,6,2,5,3,12,5,2,2,0,3,2,8,1,3,3
06001430800,0,6,7,3,5,9,2,0,3,4,2,6,3,8,2,8,8,12,4,4,5,3,6,4,8,5,2
06001430900,0,2,3,1,0,1,2,0,0,2,3,3,1,1,1,4,6,0,0,1,0,5,1,2,0,1,2
06001431000,0,2,2,1,0,1,1,2,0,1,0,1,4,2,4,0,5,1,4,1,2,1,1,2,3,2,1
06001431100,3,2,1,1,1,1,3,1,2,0,2,2,2,3,2,4,4,4,1,1,0,3,5,4,4,4,0
06001431200,0,8,15,12,19,9,4,1,2,7,6,7,9,8,13,11,18,16,9,3,7,1,7,9,12,11,0
