"geo_id","2004_blank","2004_A","2004_C","2004_I","2004_M","2004_R","2004_V","2005_blank","2005_A","2005_C","2005_I","2005_M","2005_R","2005_V","2006_blank","2006_A","2006_C","2006_I","2006_M","2006_R","2006_V","2007_blank","2007_A","2007_C","2007_I","2007_M","2007_R","2007_V","2008_blank","2008_A","2008_C","2008_I","2008_M","2008_R","2008_V","2009_blank","2009_A","2009_C","2009_I","2009_M","2009_R","2009_V","2010_blank","2010_A","2010_C","2010_I","2010_M","2010_R","2010_V","2011_blank","2011_A","2011_C","2011_I","2011_M","2011_R","2011_V","2012_blank","2012_A","2012_C","2012_I","2012_M","2012_R","2012_V","2013_blank","2013_A","2013_C","2013_I","2013_M","2013_R","2013_V","2014_blank","2014_A","2014_C","2014_I","2014_M","2014_R","2014_V"
"06097151800",2058,0,0,0,0,6,0,2094,0,0,0,0,0,0,336,0,88,0,26,1626,18,0,0,101,0,25,1938,18,3,0,120,0,27,1965,18,5,0,120,0,27,1965,18,22,0,119,0,27,1940,16,6,0,120,0,27,1965,18,1,0,130,0,26,1963,18,0,0,137,0,26,1963,19,0,0,0,0,0,0,0
"06097151900",857,0,0,0,0,1,0,880,0,0,0,0,0,0,145,0,64,3,24,628,16,0,0,69,3,23,761,16,0,0,69,3,25,773,16,1,0,69,3,25,773,16,4,0,69,3,25,763,16,1,0,69,3,25,773,16,0,0,66,3,25,775,18,0,0,66,3,25,775,18,0,0,0,0,0,0,0
"06097152000",590,0,1,0,1,1,0,647,0,0,0,0,0,0,102,0,261,1,49,220,28,0,0,301,1,49,301,27,2,0,305,1,52,303,27,3,0,305,1,52,303,27,6,0,301,1,52,294,27,4,0,305,1,52,303,27,2,0,299,1,57,309,29,0,0,298,1,56,308,29,0,0,0,0,0,0,0
"06097152100",759,0,0,0,0,1,0,804,0,0,0,0,0,0,112,0,134,1,41,498,20,2,0,142,1,40,592,22,5,0,143,1,42,599,26,7,0,143,1,42,599,26,12,0,143,1,42,593,26,7,0,143,1,42,599,26,2,0,84,0,44,670,25,2,0,82,0,47,668,27,0,0,0,0,0,0,0
"06097152201",1086,0,0,0,0,1,0,1100,0,0,0,0,0,0,186,0,46,6,10,838,51,0,0,52,6,10,1044,21,0,0,52,6,10,1049,22,0,0,52,6,10,1049,22,8,0,52,6,10,1030,22,0,0,52,6,10,1049,22,1,0,53,6,11,1047,23,0,0,52,6,11,1047,27,0,0,0,0,0,0,0
"06097152202",1979,0,0,0,0,9,0,2075,0,0,0,0,0,0,340,0,194,0,52,1527,32,7,0,200,0,51,1853,41,8,0,200,0,53,1879,50,19,0,200,0,53,1879,50,37,0,199,0,53,1860,49,25,0,200,0,53,1879,50,9,0,94,0,51,2016,50,8,2,93,0,51,2018,50,0,0,0,0,0,0,0
"06097152203",1209,0,0,0,0,1,0,1215,0,0,0,0,0,0,206,0,132,7,12,850,10,0,0,154,8,12,1020,13,0,0,155,8,12,1031,13,0,0,155,8,12,1031,13,11,0,154,8,12,1017,13,0,0,155,8,12,1031,13,0,0,161,8,11,1027,12,0,0,161,8,11,1027,12,0,0,0,0,0,0,0
"06097152300",1766,0,0,0,0,6,0,1792,0,0,0,0,0,0,280,0,39,0,13,1421,39,0,0,40,0,13,1686,46,0,0,40,0,13,1693,46,0,0,40,0,13,1693,46,18,0,40,0,12,1672,46,0,0,40,0,13,1693,46,2,0,45,0,13,1691,47,0,0,45,0,13,1692,46,0,0,0,0,0,0,0
"06097152400",3874,0,0,0,0,14,1,4013,0,0,0,0,0,0,656,12,55,5,114,2937,248,0,13,64,5,123,3563,279,28,13,66,5,126,3596,287,35,13,66,5,126,3596,287,83,13,66,5,123,3546,282,111,13,67,5,126,3595,287,5,14,244,5,119,3567,272,0,14,247,5,118,3579,245,0,0,0,0,0,0,0
"06097152501",1230,0,0,0,0,1,0,1258,0,0,0,0,0,0,213,0,23,0,34,975,20,0,0,27,0,33,1178,23,0,0,27,0,35,1182,23,19,0,27,0,35,1182,23,31,0,26,0,35,1166,23,19,0,27,0,35,1182,23,2,0,50,0,35,1171,37,0,0,50,0,35,1167,34,0,0,0,0,0,0,0
"06097152502",1110,0,0,0,0,1,0,1136,0,0,0,0,0,0,175,0,113,0,14,837,6,3,0,114,0,15,999,9,3,0,114,0,16,1017,9,6,0,114,0,16,1017,9,15,0,114,0,16,1005,9,8,0,113,0,16,1017,9,3,0,4,0,16,1136,9,3,0,4,0,16,1137,9,0,0,0,0,0,0,0
"06097152600",3561,0,0,0,0,13,1,3760,0,0,0,0,0,0,532,248,12,6,82,2505,449,0,276,15,6,82,2974,460,5,282,15,6,84,2994,476,12,282,15,6,84,2994,476,49,279,14,6,84,2951,475,18,282,15,6,84,2994,476,37,304,29,7,74,2995,482,0,295,29,6,75,3016,465,0,0,0,0,0,0,0
"06097152701",1823,0,0,0,1,6,1,1868,0,0,0,0,0,0,282,18,239,1,47,1196,96,3,19,247,2,51,1450,102,3,19,247,2,51,1470,108,19,19,247,2,51,1470,108,42,19,246,2,49,1450,105,28,19,247,2,51,1470,108,7,25,54,3,55,1681,114,3,29,52,3,54,1700,95,0,0,0,0,0,0,0
"06097152702",1555,0,0,0,0,4,1,1611,0,0,0,0,0,0,259,44,103,95,51,987,76,1,52,122,116,50,1201,86,4,53,123,119,55,1208,91,25,53,123,119,55,1208,91,65,52,122,113,54,1192,90,88,53,123,119,55,1208,91,11,60,169,124,60,1238,111,3,62,169,118,62,1233,103,0,0,0,0,0,0,0
"06097152801",1977,0,0,0,0,3,0,2005,0,0,0,0,0,0,347,10,122,103,26,1372,30,2,12,130,108,30,1711,52,3,12,131,109,31,1727,79,4,12,131,109,31,1727,79,18,12,131,107,31,1704,79,6,12,131,109,31,1727,79,3,14,89,59,29,1813,92,2,16,89,61,29,1831,72,0,0,0,0,0,0,0
"06097152802",1128,0,0,0,1,8,0,1160,0,0,0,0,0,0,216,0,131,34,40,737,7,1,0,146,39,38,929,15,2,0,148,39,41,943,16,10,0,148,39,41,943,16,20,0,147,38,41,930,16,11,0,148,39,41,943,16,1,0,123,40,41,976,19,1,0,124,40,41,975,19,0,0,0,0,0,0,0
"06097152903",1083,0,0,0,0,3,0,1138,0,0,0,0,0,0,245,3,9,0,32,853,11,0,3,9,1,29,1080,28,0,3,9,1,33,1095,28,7,3,9,1,33,1095,28,19,3,9,1,33,1071,26,7,3,9,1,33,1095,28,0,3,17,0,34,1108,17,0,2,17,0,34,1106,17,0,0,0,0,0,0,0
"06097152904",1669,0,0,0,0,3,0,1734,0,0,0,0,0,0,297,0,6,0,32,1459,27,0,0,6,0,32,1760,22,1,0,8,0,32,1785,76,1,0,8,0,32,1785,76,27,0,7,0,31,1757,76,1,0,8,0,32,1785,76,2,0,18,0,30,1809,50,0,0,18,0,30,1807,47,0,0,0,0,0,0,0
"06097152905",1185,0,0,0,0,0,0,1199,0,0,0,0,0,0,188,0,220,1,14,767,11,0,0,220,1,12,945,13,0,0,220,1,14,953,13,0,0,220,1,14,953,13,5,0,220,1,14,936,13,0,0,220,1,14,953,13,1,0,6,1,14,1173,8,0,0,6,1,14,1173,7,0,0,0,0,0,0,0
"06097152906",1479,1,0,0,0,5,0,1574,0,0,0,0,0,0,314,140,18,5,39,989,98,0,164,19,7,40,1426,245,1,164,19,7,43,1438,297,39,164,19,7,43,1438,297,58,159,18,7,43,1411,295,39,164,19,7,43,1438,297,1,166,34,13,42,1510,246,0,169,34,12,43,1569,184,0,0,0,0,0,0,0
"06097153001",1381,0,0,0,0,4,0,1444,0,0,0,0,0,0,276,0,95,55,34,952,37,0,0,109,60,38,1198,54,0,0,110,60,38,1209,59,0,0,110,60,38,1209,59,17,0,109,60,38,1186,59,10,0,110,60,38,1209,59,0,0,129,39,40,1215,67,1,0,134,39,40,1219,57,0,0,0,0,0,0,0
"06097153002",1864,0,0,0,0,1,0,1904,0,0,0,0,0,0,434,0,145,33,47,1247,32,1,0,162,47,47,1616,37,1,0,162,47,50,1659,39,7,0,162,47,50,1659,39,19,0,161,45,50,1631,39,9,0,162,47,50,1659,39,1,0,122,38,51,1717,41,0,0,126,38,49,1717,40,0,0,0,0,0,0,0
"06097153003",1398,0,0,0,0,4,0,1433,0,0,0,0,0,0,296,3,109,5,19,1004,11,3,3,113,5,18,1282,12,3,3,113,5,19,1299,12,10,3,113,5,19,1299,12,17,3,112,5,19,1284,12,12,3,113,5,19,1299,12,3,3,32,5,19,1390,15,3,3,32,5,19,1391,13,0,0,0,0,0,0,0
"06097153005",2326,0,1,0,0,7,0,2383,0,0,0,0,0,0,415,75,84,3,83,1672,56,2,79,88,5,81,2054,60,2,79,88,5,85,2071,64,2,79,88,5,85,2071,64,21,77,87,5,85,2044,64,2,79,88,5,85,2071,64,2,84,57,4,83,2099,70,2,82,58,4,83,2103,65,0,0,0,0,0,0,0
