"geo_id","sqft_median","sqft_count","rooms_median","rooms_count","bedrms_median","bedrms_count","sqft_median_2012_sales","sqft_count_2012_sales","rooms_median_2012_sales","rooms_count_2012_sales","bedrms_median_2012_sales","bedrms_count_2012_sales"
"06013370000",1392.5,1056,6.0,1051,3.0,1009,1272.0,38,6.0,38,3.0,37
"06013371000",1155.0,1617,6.0,1616,3.0,1530,1137.5,80,6.0,80,2.0,73
"06013372000",1064.5,2072,6.0,2072,3.0,2015,1038.0,120,6.0,120,3.0,117
"06013373000",1078.0,869,6.0,866,3.0,818,1188.0,33,5.0,33,3.0,31
"06013374000",1244.0,1293,6.0,1292,2.0,1210,1286.5,72,6.0,72,3.0,68
"06013375000",1164.0,789,6.0,786,3.0,687,1143.5,50,6.0,50,3.0,42
"06013376000",1199.0,1285,6.0,1283,3.0,1197,1186.0,59,6.0,59,3.0,59
"06013377000",952.0,1428,5.0,1422,2.0,1301,1312.5,62,6.0,62,3.0,55
"06013378000",1647.5,1442,7.0,1428,3.0,1350,1532.5,74,7.0,74,3.0,72
"06013379000",1120.0,1483,6.0,1468,3.0,1341,1146.0,75,6.0,75,3.0,69
"06013380000",1015.0,2683,5.0,2677,2.0,2610,1101.0,175,5.0,175,2.0,172
"06013381000",1196.0,1502,6.0,1485,3.0,1361,1169.0,64,6.0,63,3.0,57
"06013382000",1363.0,1456,6.0,1453,3.0,1350,1209.0,76,6.0,75,3.0,74
"06013383000",1187.0,1574,6.0,1571,2.0,1475,1153.0,56,6.0,56,2.0,52
"06013384000",1681.0,1646,7.0,1646,3.0,1642,1720.0,67,7.0,67,3.0,67
"06013385100",2186.0,1153,8.0,1153,3.0,1153,1986.0,35,8.0,35,3.0,35
"06013385200",1764.0,577,7.0,577,3.0,577,1987.0,16,7.5,16,3.0,16
"06013386000",1332.5,694,6.0,688,3.0,612,1332.5,28,6.0,28,3.0,26
"06013387000",1302.0,811,6.0,809,3.0,778,1150.5,36,6.0,36,3.0,36
