"geo_id","","A","C","I","M","R","V","ADAI","AFAR","ALIV","AMSC","AORC","APAS","APOU","ATIM","AVIN","CAUT","CCEM","CCOM","CDEP","CEAT","CFIN","CFOO","CHOS","CHOT","CLAU","CMED","CMOB","CMSC","CNUR","COFF","CPAR","CSER","CSHO","CSTO","CVET","IFOO","IHEA","ILIG","ILUM","IMIN","IMSC","IPET","IPUB","IWAR","IWIN","MBOW","MCLU","MCMN","MGOL","MGOV","MMAR","MMSC","MNAT","MREC","MREL","MROA","MSCH","MTHE","MTRA","MUTI","RAPT","RCON","RCOO","RDUP","RMFD","RMOB","RMSC","RQUA","RSFR","RTIM","RTRI","VAGR","VCOM","VIND","VMSC","VRES","VWAS"
"06097153104",3,1,93,32,18,580,162,0,1,0,0,0,0,0,0,0,4,0,2,0,10,1,2,0,0,0,0,0,26,0,2,3,28,4,11,0,3,0,5,0,0,0,0,4,20,0,0,0,0,0,6,0,3,0,0,0,6,3,0,0,0,29,27,0,81,0,27,7,14,372,0,23,0,17,8,113,23,1
"06097153200",1,32,60,95,86,1756,304,4,3,0,0,0,24,1,0,0,15,0,0,0,5,0,0,4,2,0,0,0,16,0,2,2,7,2,4,1,0,0,34,1,1,2,0,5,52,0,0,0,1,0,10,0,36,0,3,3,22,8,0,1,2,12,62,0,54,0,31,31,30,1528,0,8,0,28,25,121,129,1
"06097153300",8,92,136,47,121,3006,328,11,3,0,0,4,63,4,0,7,2,0,0,0,4,0,1,6,1,0,0,1,48,4,43,15,3,4,3,1,2,0,25,3,0,1,0,1,15,0,0,0,0,0,29,0,33,0,5,9,24,8,0,1,12,7,661,0,206,0,61,23,2,2043,0,3,0,12,36,37,243,0
"06097153401",0,35,184,24,87,2029,107,6,1,0,0,13,2,0,0,13,0,1,9,0,12,8,4,5,0,0,6,0,34,0,34,21,6,9,32,3,3,0,4,1,1,9,0,0,6,0,0,3,0,0,26,0,7,0,5,14,13,9,1,0,9,24,225,0,115,1,8,16,33,1586,0,21,0,33,3,12,58,1
"06097153403",25,10,122,14,37,1249,109,0,3,1,0,0,5,0,0,1,5,0,3,0,5,0,1,5,4,0,13,4,31,3,20,4,10,3,10,1,0,0,3,0,0,3,0,2,6,0,0,2,0,0,10,0,3,0,4,1,10,2,0,0,5,7,30,0,68,0,71,17,4,1044,0,8,0,22,3,21,62,1
"06097153404",0,33,19,0,18,1256,72,0,1,0,0,4,2,0,0,26,0,3,1,1,0,0,0,2,0,0,0,0,8,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,6,4,0,0,2,20,65,0,37,0,7,12,4,1108,0,3,0,1,0,4,65,2
"06097153501",1,131,16,7,36,1383,122,10,5,2,1,10,75,5,0,23,0,0,2,0,2,0,0,2,0,0,0,0,6,1,0,0,2,0,1,0,2,0,2,0,2,0,0,0,1,0,0,2,0,0,3,0,13,0,0,1,12,2,0,0,3,0,0,0,12,0,33,35,6,1295,0,2,0,1,1,15,105,0
"06097153502",5,169,14,1,21,1191,154,18,4,0,0,26,76,2,0,43,0,1,1,0,2,0,1,0,2,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,3,0,3,0,4,2,0,0,4,0,0,0,5,0,28,17,0,1141,0,0,0,0,0,8,138,8
"06097153600",2,220,30,23,35,1658,178,0,4,1,0,48,21,0,19,127,1,3,2,0,2,0,0,2,3,0,0,1,7,2,3,0,1,0,3,0,4,0,2,1,0,1,0,0,5,10,0,1,0,1,11,0,1,0,1,2,5,5,0,0,8,3,14,0,28,0,27,33,1,1548,0,4,0,5,1,14,154,4
"06097153703",3,162,48,12,152,2200,1742,0,0,0,0,0,16,0,133,13,1,0,0,0,5,0,0,0,21,0,0,1,9,0,1,4,3,0,3,0,0,0,0,8,2,1,1,0,0,0,0,0,0,1,56,0,1,0,17,6,12,7,1,0,51,9,55,0,121,0,29,5,7,1965,0,9,0,11,0,1004,716,11
