"geo_id","res_imprv_pct_median","res_imprv_pct_stdev","res_count","com_imprv_pct_median","com_imprv_pct_stdev","com_count"
"06013387000",21.16,11.7,36,"","",0
"06013388000",14.38,15.5,30,65.62,0.0,1
"06013389100",17.58,8.3,15,"","",0
"06013389200",35.75,15.5,8,"","",0
"06013390100",15.09,11.3,25,"","",0
"06013390200",13.55,12.5,26,"","",0
"06013391000",25.96,16.2,32,79.59,0.0,1
"06013392000",29.96,15.4,35,"","",0
"06013392200",62.26,16.9,163,"","",0
"06013392300",71.91,6.0,45,"","",0
"06013421200",14.95,0.7,2,"","",0
"06041101100",60.17,10.6,38,"","",0
"06041101200",53.05,11.7,40,48.14,0.0,1
"06041102100",46.52,7.6,24,"","",0
"06041102202",43.33,10.8,78,"","",0
"06041102203",66.91,14.8,168,64.73,18.4,10
"06041103100",42.85,6.6,85,"","",0
"06041103200",42.19,11.9,87,"","",0
"06041104101",51.55,11.4,113,"","",0
"06041104102",52.23,7.6,84,66.66,0.0,1
"06041104200",60.47,8.7,78,74.83,0.0,1
"06041104300",44.07,6.9,29,"","",0
"06041105000",57.19,7.3,89,"","",0
"06041106001",50.0,8.4,62,"","",0
"06041106002",36.84,14.1,91,"","",0
"06041107000",40.94,6.4,95,"","",0
"06041108100",41.52,8.4,87,"","",0
"06041108200",49.8,13.2,76,"","",0
"06041109001",44.49,8.9,49,27.97,11.3,2
"06041109002",36.61,8.9,41,41.98,1.0,2
"06041110100",38.93,8.1,59,63.42,4.1,2
"06041110200",42.21,7.9,71,"","",0
"06041111000",42.27,6.7,43,53.26,13.4,6
"06041112100",40.61,8.9,57,51.45,1.7,2
"06041112201",56.52,8.7,27,"","",0
"06041112202",56.72,7.0,40,65.04,14.4,7
"06041113000",37.59,15.0,50,"","",0
"06041114100",30.95,10.2,49,50.0,0.0,1
"06041114200",39.74,8.6,31,49.75,0.0,1
"06041115000",39.6,8.3,99,0.0,0.0,2
