"geo_id","2004_Y","2004_N","2004_U","2005_Y","2005_N","2005_U","2006_Y","2006_N","2006_U","2007_Y","2007_N","2007_U","2008_Y","2008_N","2008_U","2009_Y","2009_N","2009_U","2010_Y","2010_N","2010_U","2011_Y","2011_N","2011_U","2012_Y","2012_N","2012_U","2013_Y","2013_N","2013_U","2014_Y","2014_N","2014_U"
"06001409300",11,0,0,0,0,0,535,237,0,750,321,1,727,363,1,159,110,14,663,387,11,662,415,10,653,433,2,638,450,0,0,0,0
"06001409400",6,4,0,0,0,0,357,157,0,545,226,1,512,286,0,136,114,11,496,331,8,509,369,12,571,384,4,569,399,2,0,0,0
"06001409500",6,0,0,0,0,0,288,116,0,431,190,0,412,220,0,91,80,14,348,267,4,343,287,6,326,313,0,333,314,0,0,0,0
"06001409600",4,7,1,0,0,0,471,231,0,685,337,0,650,392,1,161,145,10,584,422,5,572,460,11,549,492,3,539,504,2,0,0,0
"06001409700",8,4,0,0,0,0,457,230,0,660,311,0,614,368,2,144,108,20,539,392,10,554,425,7,530,449,7,525,462,0,0,0,0
"06001409800",8,2,0,0,0,0,570,113,0,775,172,0,747,207,0,140,60,4,729,197,6,735,216,7,740,221,1,737,226,0,0,0,0
"06001409900",21,1,0,0,0,0,945,122,0,1222,149,0,1219,156,0,255,37,2,1162,169,3,1192,182,5,1190,188,5,1182,199,2,0,0,0
"06001410000",17,1,1,0,0,0,789,89,0,1004,121,1,1001,131,1,201,47,2,973,138,4,990,143,3,994,142,2,992,142,3,0,0,0
"06001410100",9,2,0,0,0,0,460,102,0,646,152,0,633,173,1,116,49,8,595,183,4,598,204,4,581,220,5,579,229,1,0,0,0
"06001410200",5,1,0,0,0,0,406,151,0,578,209,0,566,247,1,124,64,13,540,259,3,535,274,8,517,297,3,515,304,0,0,0,0
"06001410300",5,1,0,0,0,0,306,129,0,473,177,0,441,225,0,102,82,10,398,247,2,390,271,5,377,285,2,374,291,0,0,0,0
"06001410400",12,3,0,0,0,0,616,152,0,889,212,0,850,262,0,165,65,12,789,289,6,806,300,6,773,337,3,769,343,1,0,0,0
"06001410500",1,0,0,0,0,0,60,46,2,88,72,0,89,78,0,22,11,1,89,87,0,92,91,0,96,88,0,96,88,0,0,0,0
"06001420100",5,0,0,0,0,0,566,124,1,632,142,0,634,141,0,123,33,4,597,137,0,634,141,0,638,137,0,638,138,0,0,0,0
"06001420200",2,2,0,0,0,0,407,225,0,465,259,0,470,259,0,90,52,2,469,309,0,491,312,0,480,322,0,479,325,0,0,0,0
"06001420300",14,4,0,0,0,0,991,520,1,1133,585,1,1130,596,2,195,103,5,1049,621,2,1086,644,3,1058,676,1,1052,684,1,0,0,0
"06001420500",1,1,0,0,0,0,388,206,0,446,233,0,451,230,0,87,40,2,431,235,0,439,245,1,443,241,1,440,245,0,0,0,0
"06001420600",7,0,0,0,0,0,841,181,0,956,204,0,960,201,0,216,30,0,903,210,1,953,208,0,951,210,1,951,211,0,0,0,0
"06001421100",7,1,0,0,0,0,641,68,0,754,74,1,755,78,0,157,14,2,713,80,0,746,87,0,744,88,1,743,89,0,0,0,0
"06001421200",10,1,0,0,0,0,1132,94,1,1308,114,0,1313,110,0,247,27,3,1259,110,0,1303,123,0,1295,134,0,1294,133,0,0,0,0
"06001421300",9,3,0,0,0,0,1214,161,0,1384,190,0,1388,189,0,273,27,2,1315,204,0,1366,211,0,1364,213,0,1373,204,0,0,0,0
"06001421400",5,0,0,0,0,0,459,62,1,530,75,1,536,72,1,115,15,2,519,73,1,530,77,2,526,83,1,531,76,2,0,0,0
"06001421500",13,0,0,0,0,0,1140,166,3,1293,200,1,1287,209,1,271,40,2,1235,217,1,1286,216,1,1284,218,1,1277,225,2,0,0,0
"06001421600",4,2,0,0,0,0,1055,200,2,1195,237,9,1199,239,8,244,54,0,1128,251,8,1174,262,10,1167,274,8,1172,270,8,0,0,0
"06001421700",4,3,0,0,0,0,442,257,1,499,285,5,523,268,5,118,50,0,525,255,5,538,264,5,532,269,7,532,268,7,0,0,0
"06001421800",4,0,0,0,0,0,492,135,1,558,153,0,580,140,1,117,21,1,561,139,1,583,138,1,582,140,0,578,145,0,0,0,0
"06001421900",6,2,0,0,0,0,908,238,0,1071,267,8,1068,282,9,208,64,0,1005,286,10,1052,304,9,1044,313,9,1038,325,9,0,0,0
"06001422000",0,0,0,0,0,0,134,80,0,158,103,1,165,108,1,29,49,1,203,186,3,207,197,3,208,202,2,212,199,2,0,0,0
"06001422100",5,3,0,0,0,0,417,171,0,483,218,6,488,217,8,90,46,3,470,223,7,497,219,7,456,261,5,496,223,5,0,0,0
"06001422200",6,2,0,0,0,0,554,216,1,648,246,6,658,239,6,133,48,4,626,251,7,650,252,8,655,250,6,652,253,6,0,0,0
"06001422300",4,1,0,0,0,0,485,231,2,564,274,3,581,263,3,118,42,0,552,265,3,575,273,3,564,285,3,559,295,3,0,0,0
"06001422400",2,5,0,0,0,0,186,239,1,221,276,0,234,263,1,47,53,0,225,264,0,240,265,0,239,265,2,236,268,1,0,0,0
"06001422500",5,1,0,0,0,0,240,249,0,278,281,7,277,282,7,48,39,1,268,291,8,270,301,8,270,300,9,265,305,7,0,0,0
"06001422600",0,0,0,0,0,0,9,2,0,12,2,0,12,3,0,0,0,0,12,3,0,12,3,0,12,3,0,12,3,0,0,0,0
"06001422700",2,0,0,0,0,0,103,96,0,117,114,3,117,112,4,24,18,1,111,112,4,121,113,3,121,114,2,116,121,2,0,0,0
"06001422800",1,1,0,0,0,0,13,109,0,13,129,0,13,135,0,0,26,0,11,136,0,12,136,0,11,137,0,13,135,0,0,0,0
